filename,language,topic,text
ar_artificial_intelligence.png,ar,Artificial Intelligence,"الذَّكَاءُ الْاِصْطِنَاعِيُّ أو الذَّكَاءُ الصِّنَاعِيُّ أو الذَّكَاءُ الصُّنْعِيُّ (اختصاراً ذ.ا، إي-آي، أي-آي; بالإنجليزية: Artificial Intelligence، واختصاراً A.I) ويمكن تعريفه بأنه فرع من علوم الحاسوب يركز على تطوير أنظمة ومعدات وبرامج تحاكي القدرات الذهنية للبشر وبخصائص متعددة: التعلم، الاستنتاج، التفكير، رد الفعل، اتخاذ القرارات والإدراك حتى في مواقف لم يتم برمجتها أو تدريبها عليها.
ويستخدم الذكاء الاصطناعي اليوم في مجالات متعددة، منها الطب، والصناعة، والتعليم، والاتصالات، والبرمجة، وجمع وتحليل البيانات وحتى في الأمن السيبراني، والمعلومات (المصادر المفتوحة)، ويساهم بشكل كبير في تطوير تطبيقات معقدة تشمل السيارات ذاتية القيادة، والتشخيص الطبي، والترجمة الآلية، والمساعدات الذكية. وبفضل التقدم في تقنيات تعلم الآلة والشبكات العصبية العميقة، أصبح الذكاء الاصطناعي قادراً على أداء مهام كانت في السابق حكراً على البشر، مما يثير تحديات أخلاقية وتنظيمية متزايدة. ويجعله أحد أبرز تقنيات الثورة الرقمية. ورغم التقدم الكبير، لا يزال المفهوم نفسه محل نقاش بسبب غياب تعريف دقيق وشامل."
ar_history_of_printing.png,ar,History Of Printing,"تاريخ الطباعة هو دراسة تطور تقنيات الطباعة منذ أقدم أشكالها وحتى العصر الحديث، مع التركيز على الطرق والأساليب التي مكنت الإنسان من إنتاج النصوص والصور بشكل متكرر ودقيق. تبدأ هذه الدراسة بالطباعة بالحفر على الخشب في الصين خلال القرن السابع الميلادي، ثم الطباعة بالحروف المعدنية المتحركة في كوريا في القرن الثالث عشر، وصولًا إلى اختراع يوهانس جوتنبرغ للطباعة بالحروف المعدنية في أوروبا خلال القرن الخامس عشر، وما ترتب على ذلك من انتشار واسع للكتب والمخطوطات. كما يتناول تاريخ الطباعة تأثير هذه التقنية على نقل المعرفة والثقافة والعلوم، ودورها في تعزيز التعليم، وتسهيل تبادل المعلومات، وتأثيرها في مجالات الاقتصاد والمجتمع عبر العصور.
بدأت الكتابة مع الحضارات القديمة كوسيلة لتسجيل المعرفة والأحداث اليومية، إذ لعبت دورًا محوريًا في توثيق المعاملات الاقتصادية والممارسات الدينية والاجتماعية. ففي سومر حوالي عام 3200 ق.م، ظهرت الكتابة المسمارية، وهي أول نظام كتابة متطور استخدم في تسجيل المعاملات والأحداث الإدارية. وفي مصر القديمة، نشأت الهيروغليفية التي نقش بها النصوص الدينية والإدارية على المعابد والبرديات، مسجلة بذلك التاريخ والأديان والممارسات اليومية للمجتمع المصري."
ar_hydrogen_isotopes.png,ar,Hydrogen Isotopes,"لدى الهيدروجين (H) (الكتلة الذرية القياسية 1.00794 دالتون) ثلاث نظائر متوفرة طبيعياً وهي H و H و H. أكثر نظير مشع ثابت للهيدروجين هو H وله عمر نصف مقداره 12.32 سنة.
هنالك نظائر أخرى أثقل (H إلى H)ولكنها غير ثابتة بالمرة (عمر النصف لها أقل من زبتو ثانية (10 من الثانية) ومصنعة فقط مخبرياً. من هذه النظائر الثقيلة، يعد H أكثرها ثباتاً، أما أقلها فهو H.
يعد الهيدروجين العنصر الكيميائي الوحيد الذي تختلف أسماء نظائره، حيث أن نظائر العناصر الأخرى تميز عن بعضها بعدد الكتلة الموافق. يسمّى النظير هيدروجين-2 ديوتيريوم، في حين أن النظير هيدروجين-3 يسمّى تريتيوم. النظير الشائع للهيدروجين وهو هيدروجين-1، والذي لا يحوي نيوترونات، يدعى بروتيوم."
ar_periodic_table.png,ar,Periodic Table,"الجدول الدوري ترتيب مجدول للعناصر الكيميائية، مرتبة حسب عددها الذري، والتوزيع الإلكتروني، والخواص الكيميائية المتكررة، والذي يُظهر هيكله اتجاهات دورية. بشكل عام، تكون العناصر في الصف واحد (الدورة) فلزات باتجاه اليسار، ولا فلزات باتجاه اليمين، بحيث توضع العناصر التي لها سلوكيات كيميائية مماثلة في نفس العمود. تسمى صفوف الجدول عادةً بالدورات وتسمى الأعمدة بالمجموعات. وتمتلك ستة مجموعات أسماء بالإضافة إلى الأرقام المخصصة: على سبيل المثال، عناصر المجموعة 17 هي الهالوجينات؛ والمجموعة 18 هي الغازات النبيلة. كما أنه يُعرض في شكل أربع مناطق مستطيلة بسيطة أو مستويات فرعية مرتبطة بملء المدارات الذرية المختلفة.
يمكن استخدام تنظيم الجدول الدوري لاشتقاق العلاقات بين خواص العناصر المختلفة، وأيضًا الخصائص والسلوكيات الكيميائية المتوقعة للعناصر غير المكتشفة أو المركَّبة حديثًا. كان الكيميائي الروسي ديمتري مندلييف أول من نشر جدولًا دوريًا معروفًا في عام 1869، وقد تم تطويره بشكل أساسي لتوضيح الاتجاهات الدورية للعناصر المعروفة آنذاك. كما توقع بعض خصائص العناصر غير المحددة التي كان من المتوقع أن تملأ الفجوات داخل الجدول. ثبتت صحة معظم توقعاته. وقد تم توسيع فكرة مندلييف ببطء وصقلها مع اكتشاف أو توليف عناصر جديدة أخرى وتطوير نماذج نظرية جديدة لشرح السلوك الكيميائي. يوفر الجدول الدوري الحديث الآن إطارًا مفيدًا لتحليل التفاعلات الكيميائية، ولا يزال يستخدم على نطاق واسع في الكيمياء، والفيزياء النووية، والعلوم الأخرى."
en_artificial_intelligence.png,en,Artificial Intelligence,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. It is a field of research in engineering, mathematics and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.
High-profile applications of AI include advanced web search engines, chatbots, virtual assistants, autonomous vehicles, and play and analysis in strategy games (e.g., chess and Go). Since the 2020s, generative AI has become widely available to generate images, audio, and videos from text prompts."
en_history_of_printing.png,en,History Of Printing,"Printing emerged as early as the 4th millennium BCE in the form of cylinder seals used by the Proto-Elamite and Sumerian civilizations to certify documents written on clay tablets. Other early forms include block seals, hammered coinage, pottery imprints, and cloth printing. Initially a method of printing patterns on cloth such as silk, woodblock printing for texts on paper originated in Tang China by the 7th century, to the spread of book production and woodblock printing in other parts of Asia such as Korea and Japan. The Chinese Buddhist Diamond Sutra, printed by woodblock on 11 May 868, is the earliest known printed book with a precise publishing date. Movable type was invented in China during the 11th century by the Song dynasty artisan Bi Sheng, but it received limited use compared to woodblock printing. However, the use of copper movable types was documented in a Song-era book from 1193, and the earliest printed paper money using movable metal type to print the identifying codes were made in 1161. The technology also spread outside China, with the oldest extant printed book using metal movable type being the Jikji, printed in Korea in 1377 during the Goryeo era.
Woodblock printing was also used in Europe until the mid-15th century. Late medieval German inventor Johannes Gutenberg created the first printing press based on previously known mechanical presses and a process for mass-producing metal type. By the end of the 15th century, his invention and widescale circulation of the Gutenberg Bible became responsible for a burgeoning economical book publishing industry spreading globally across Renaissance Europe and eventually among the colonial publishers and printers that emerged in the British American colonies. This industry enabled the communication of ideas and the sharing of knowledge on an unprecedented scale, leading to the global spread of the printing press during the early modern period. Alongside the development of text printing, new and lower-cost methods of image reproduction were developed, including lithography, screen printing and photocopying."
en_hydrogen_isotopes.png,en,Hydrogen Isotopes,"Hydrogen (1H) has three naturally occurring isotopes: H, H, and H. H and H are stable, while H has a half-life of 12.32 years. Heavier isotopes also exist; all are synthetic and have a half-life of less than 1 zeptosecond (10 s).
Hydrogen is the only element whose isotopes have different names that remain in common use today: H is deuterium and H is tritium. The symbols D and T are sometimes used for deuterium and tritium; IUPAC (International Union of Pure and Applied Chemistry) accepts said symbols, but recommends the standard isotopic symbols H and H, to avoid confusion in alphabetic sorting of chemical formulas. H, with no neutrons, may be called protium to disambiguate. During the early study of radioactivity, some other heavy radioisotopes were given names, but such names are rarely used today."
en_periodic_table.png,en,Periodic Table,"The periodic table, also known as the periodic table of the elements, is an ordered arrangement of the chemical elements into rows (""periods"") and columns (""groups""). An icon of chemistry, the periodic table is widely used in physics and other sciences. It is a depiction of the periodic law, which states that when the elements are arranged in order of their atomic numbers an approximate recurrence of their properties is evident. The table is divided into four roughly rectangular areas called blocks. Elements in the same group tend to show similar chemical characteristics.
Vertical, horizontal and diagonal trends characterize the periodic table. Metallic character increases going down a group and from right to left across a period. Nonmetallic character increases going from the bottom left of the periodic table to the top right."
ja_artificial_intelligence.png,ja,Artificial Intelligence,"人工知能（じんこうちのう、英: artificial intelligence）、AI（エーアイ）は、「『計算（computation）』という概念と『コンピュータ（computer）』という道具を用いて『知能』を研究する計算機科学（computer science）の一分野」を指す語。「言語の理解や推論、問題解決などの知的行動を人間に代わってコンピュータに行わせる技術」、または、「計算機（コンピュータ）による知的な情報処理システムの設計や実現に関する研究分野」ともされる。命名者はジョン・マッカーシー。『日本大百科全書(ニッポニカ)』で情報工学者の佐藤理史は次のように説明した。
AIの研究開発は「人工知能学」とも呼ばれる。AIに関する大学での研究や教育は「電気工学・コンピュータ科学部 人工知能・意思決定論科」、情報工学科や情報理工学科コンピュータ科学専攻などで行われている。1200の大学で使用された事例があるコンピュータ科学の教科書『エージェントアプローチ人工知能』の、2022年版の最終章最終節「結論」では、SF作家らは筋書きを面白くするためにディストピア的未来を好む傾向があるとされている。しかし今までのAIや他の革命的な科学技術（出版・配管・航空旅行・電話システム）について言えば、これらの科学技術は全て好影響を与えてきたと同教科書では掲載されている。"
ja_hydrogen_isotopes.png,ja,Hydrogen Isotopes,"水素（H、標準原子量: 1.008）には天然にH、HおよびHの3つの同位体がある。その他には非常に不安定な核種（HからH）が実験室で合成されているが、天然には全く存在しない。
水素は今日ではその同位体に特殊な名前が使われている唯一の元素である（放射線の研究の初期には、放射性同位体に様々な名前が与えられてきた〔en:List of elements by symbol#Symbols for named isotopes〕。しかし、そのような名前は今日ではめったに使われない）。元素記号DとT（HとHの代替）が重水素と三重水素に対して用いられることがある。IUPACはこれらの記号を慣用として記載しているが推奨はしていない。"
